iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
0,0.2,32,50,1,False,0,selu,glorot_normal,,0.4608143794190306,0.0,139.32167172431946,13
1,0.2,32,50,1,False,0,selu,uniform,,0.4608143794190306,0.0,121.30095338821411,13
2,0.2,32,50,1,False,0,selu,normal,,0.4608143794190306,0.0,121.12226033210754,13
3,0.2,32,50,1,False,0.2,selu,glorot_normal,,0.4605162279580885,0.015927260769954227,148.88257241249084,13
4,0.2,32,50,1,False,0.2,selu,uniform,,0.4608143794190306,0.0,131.13518929481506,13
5,0.2,32,50,1,False,0.2,selu,normal,,0.46170883380185707,0.02719900743414097,133.734192609787,13
6,0.2,32,50,1,False,0.4,selu,glorot_normal,,0.4637533009626033,0.03479161781157746,144.90605449676514,13
7,0.2,32,50,1,False,0.4,selu,uniform,,0.4608143794190306,0.0,129.13417720794678,13
8,0.2,32,50,1,False,0.4,selu,normal,,0.4642644177527898,0.031956907468020615,128.6671576499939,13
9,0.2,32,50,2,False,0,selu,glorot_normal,,0.4608143794190306,0.0,257.04175543785095,13
10,0.2,32,50,2,False,0,selu,uniform,,0.4608143794190306,0.0,230.81697821617126,13
11,0.2,32,50,2,False,0,selu,normal,,0.4608143794190306,0.0,230.61943316459656,13
12,0.2,32,50,2,False,0.2,selu,glorot_normal,,0.4609421586165773,0.02928953836993486,273.47599172592163,13
13,0.2,32,50,2,False,0.2,selu,uniform,,0.4608143794190306,0.0,243.95023226737976,13
14,0.2,32,50,2,False,0.2,selu,normal,,0.4614958684726127,0.026647759410739845,250.22113347053528,13
15,0.2,32,50,2,False,0.4,selu,glorot_normal,,0.461751426867706,0.03769247296950059,289.55018162727356,13
16,0.2,32,50,2,False,0.4,selu,uniform,,0.4608143794190306,0.0,266.4209372997284,13
17,0.2,32,50,2,False,0.4,selu,normal,,0.4608143794190306,0.0,271.61835622787476,13
18,0.2,32,50,3,False,0,selu,glorot_normal,,0.4608143794190306,0.0,361.9420802593231,13
19,0.2,32,50,3,False,0,selu,uniform,,0.4608143794190306,0.0,325.6482629776001,13
20,0.2,32,50,3,False,0,selu,normal,,0.4608143794190306,0.0,328.97256541252136,13
21,0.2,32,50,3,False,0.2,selu,glorot_normal,,0.4608143794190306,0.0,399.9879117012024,13
22,0.2,32,50,3,False,0.2,selu,uniform,,0.4608143794190306,0.0,361.52943873405457,13
23,0.2,32,50,3,False,0.2,selu,normal,,0.4608143794190306,0.0,361.97153902053833,13
24,0.2,32,50,3,False,0.4,selu,glorot_normal,,0.4608143794190306,0.0,396.0163378715515,13
25,0.2,32,50,3,False,0.4,selu,uniform,,0.4608143794190306,0.0,363.3728566169739,13
26,0.2,32,50,3,False,0.4,selu,normal,,0.4608143794190306,0.0,360.0223627090454,13
27,0.2,32,50,1,False,0,tanh,glorot_normal,,0.5222761734389642,0.5350571423910082,156.16669058799744,13
28,0.2,32,50,1,False,0,tanh,uniform,,0.5246613851265014,0.5438713357403254,134.73794388771057,13
29,0.2,32,50,1,False,0,tanh,normal,,0.5231280347559417,0.5267373133714351,133.3084545135498,13
30,0.2,32,50,1,False,0.2,tanh,glorot_normal,,0.5269614106823409,0.5462478955406819,170.61851859092712,13
31,0.2,32,50,1,False,0.2,tanh,uniform,,0.5259391771019678,0.5416564602310122,145.3123209476471,13
32,0.2,32,50,1,False,0.2,tanh,normal,,0.5215520913195333,0.5341680852436914,143.01435089111328,13
33,0.2,32,50,1,False,0.4,tanh,glorot_normal,,0.5169520402078541,0.5350856772535864,158.63767218589783,13
34,0.2,32,50,1,False,0.4,tanh,uniform,,0.5216372774512309,0.5416055644052019,144.97131538391113,13
35,0.2,32,50,1,False,0.4,tanh,normal,,0.5204872646733112,0.5363614694143413,144.9083206653595,13
36,0.2,32,50,2,False,0,tanh,glorot_normal,,0.5204446716074624,0.5250447909160852,283.2377166748047,13
37,0.2,32,50,2,False,0,tanh,uniform,,0.5228724763608484,0.5335388004726602,254.17803692817688,13
38,0.2,32,50,2,False,0,tanh,normal,,0.5140557117301304,0.5262217122362874,252.025532245636,13
39,0.2,32,50,2,False,0.2,tanh,glorot_normal,,0.5226595110316041,0.5321127480554849,299.4560136795044,13
40,0.2,32,50,2,False,0.2,tanh,uniform,,0.5215520913195332,0.5364631715807654,259.9130620956421,13
41,0.2,32,50,2,False,0.2,tanh,normal,,0.5224039526365108,0.5334346109433034,265.32839012145996,13
42,0.2,32,50,2,False,0.4,tanh,glorot_normal,,0.5301132975551581,0.5453681627427522,286.6632807254791,13
43,0.2,32,50,2,False,0.4,tanh,uniform,,0.5219780219780221,0.5364481954213045,260.1539714336395,13
44,0.2,32,50,2,False,0.4,tanh,normal,,0.5225317318340574,0.538831834809267,257.5939984321594,13
45,0.2,32,50,3,False,0,tanh,glorot_normal,,0.517377970866343,0.5267653136490933,361.48932552337646,13
46,0.2,32,50,3,False,0,tanh,uniform,,0.519209472697845,0.5307106723916784,320.8073904514313,13
47,0.2,32,50,3,False,0,tanh,normal,,0.5181020529857739,0.5328271133793351,323.28684663772583,13
48,0.2,32,50,3,False,0.2,tanh,glorot_normal,,0.5268762245506432,0.5349244947746421,402.26608967781067,13
49,0.2,32,50,3,False,0.2,tanh,uniform,,0.5359911406423032,0.5486034612621941,358.67530965805054,13
50,0.2,32,50,3,False,0.2,tanh,normal,,0.5281540165261095,0.5376505685613485,358.69805002212524,13
51,0.2,32,50,3,False,0.4,tanh,glorot_normal,,0.5301984836868557,0.5420143968025665,390.8509874343872,13
52,0.2,32,50,3,False,0.4,tanh,uniform,,0.5396115512394583,0.5535683708074848,360.1769027709961,13
53,0.2,32,50,3,False,0.4,tanh,normal,,0.53611891983985,0.5572848606184213,357.5057291984558,13
54,0.2,32,50,1,False,0,sigmoid,glorot_normal,,0.5215520913195332,0.5252488538201269,155.45821928977966,13
55,0.2,32,50,1,False,0,sigmoid,uniform,,0.5180168668540761,0.5280959998678102,131.51599884033203,13
56,0.2,32,50,1,False,0,sigmoid,normal,,0.5198057756197291,0.5253187870971013,128.9690179824829,13
57,0.2,32,50,1,False,0.2,sigmoid,glorot_normal,,0.5214669051878354,0.5382252112327174,167.92657113075256,13
58,0.2,32,50,1,False,0.2,sigmoid,uniform,,0.5200613340148225,0.5300695549410976,143.75136303901672,13
59,0.2,32,50,1,False,0.2,sigmoid,normal,,0.5257688048385721,0.5381591739224328,143.61485981941223,13
