iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
0,0.2,32,50,1,0,selu,zero,,0.6117896852410126,0.23572594127662025,461.8716993331909,13
1,0.2,32,50,1,0,selu,uniform,,0.6720477162955039,0.35099619486839506,464.76963543891907,13
2,0.2,32,50,1,0,selu,normal,,0.5827903659762068,0.02447631205226281,500.65551018714905,13
3,0.2,32,50,1,0.2,selu,zero,,0.6117896852410126,0.23572594127662025,525.461079120636,13
4,0.2,32,50,1,0.2,selu,uniform,,0.6019384745048463,0.08924288340898613,524.0433175563812,13
5,0.2,32,50,1,0.2,selu,normal,,0.5859087814840027,0.03999642069015136,510.3546898365021,13
6,0.2,32,50,1,0.4,selu,zero,,0.6117896852410126,0.23572594127662025,531.529331445694,13
7,0.2,32,50,1,0.4,selu,uniform,,0.587455022853253,0.04233285862151034,514.7702441215515,13
8,0.2,32,50,1,0.4,selu,normal,,0.5803332360854485,0.0,452.7722442150116,13
9,0.2,32,50,2,0,selu,zero,,0.6117896852410126,0.23572594127662025,510.39310669898987,13
10,0.2,32,50,2,0,selu,uniform,,0.5803332360854485,0.0,509.7686004638672,13
11,0.2,32,50,2,0,selu,normal,,0.5803332360854485,0.0,531.3907885551453,13
12,0.2,32,50,2,0.2,selu,zero,,0.6117896852410126,0.23572594127662025,566.8978650569916,13
13,0.2,32,50,2,0.2,selu,uniform,,0.5803332360854485,0.0,573.1615374088287,13
14,0.2,32,50,2,0.2,selu,normal,,0.5803332360854485,0.0,565.9919013977051,13
15,0.2,32,50,2,0.4,selu,zero,,0.6117896852410126,0.23572594127662025,631.739316701889,13
16,0.2,32,50,2,0.4,selu,uniform,,0.5803332360854485,0.0,610.7690324783325,13
17,0.2,32,50,2,0.4,selu,normal,,0.5803332360854485,0.0,615.3025050163269,13
18,0.2,32,50,3,0,selu,zero,,0.6117896852410126,0.23572594127662025,638.2488844394684,13
19,0.2,32,50,3,0,selu,uniform,,0.5803332360854485,0.0,643.5410008430481,13
20,0.2,32,50,3,0,selu,normal,,0.5803332360854485,0.0,559.0466201305389,13
21,0.2,32,50,3,0.2,selu,zero,,0.6117896852410126,0.23572594127662025,636.9306945800781,13
22,0.2,32,50,3,0.2,selu,uniform,,0.5803332360854485,0.0,650.0806143283844,13
23,0.2,32,50,3,0.2,selu,normal,,0.5803332360854485,0.0,649.2795987129211,13
24,0.2,32,50,3,0.4,selu,zero,,0.6117896852410126,0.23572594127662025,670.4557843208313,13
25,0.2,32,50,3,0.4,selu,uniform,,0.5803332360854485,0.0,658.8253917694092,13
26,0.2,32,50,3,0.4,selu,normal,,0.5803332360854485,0.0,715.4884974956512,13
27,0.2,32,50,1,0,tanh,zero,,0.6117896852410126,0.23572594127662025,480.0421419143677,13
28,0.2,32,50,1,0,tanh,uniform,,0.8152322603650035,0.753955019109517,473.5728266239166,13
29,0.2,32,50,1,0,tanh,normal,,0.8064183604006614,0.7413575504253105,472.8306133747101,13
