iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
0,0.2,32,50,1,False,0,selu,uniform,,0.5833120368004087,0.6977853148629635,84.83181142807007,13
1,0.2,32,50,1,False,0,selu,normal,,0.4115767952977256,0.17052787399603433,71.89296579360962,13
2,0.2,32,50,1,False,0.2,selu,uniform,,0.5806286736519292,0.7011485966113155,78.97783732414246,13
3,0.2,32,50,1,False,0.2,selu,normal,,0.5911065678507538,0.7266063357567355,66.97899603843689,13
4,0.2,32,50,1,False,0.4,selu,uniform,,0.5861231791464346,0.7011338262481814,74.12687063217163,13
5,0.2,32,50,1,False,0.4,selu,normal,,0.5903398926654739,0.7336387876503104,66.03097987174988,13
6,0.2,32,50,2,False,0,selu,uniform,,0.40199335548172765,0.06665075629609855,148.21156907081604,13
7,0.2,32,50,2,False,0,selu,normal,,0.4056989522105802,0.06309573028965361,123.51539134979248,13
8,0.2,32,50,2,False,0.2,selu,uniform,,0.5925121390237668,0.7308714767532205,136.31164145469666,13
9,0.2,32,50,2,False,0.2,selu,normal,,0.5977510861231788,0.7288607459427761,116.8823766708374,13
10,0.2,32,50,2,False,0.4,selu,uniform,,0.5944288269869664,0.7334158789948758,132.74913215637207,13
11,0.2,32,50,2,False,0.4,selu,normal,,0.5830564784053154,0.7132365156972853,117.62400484085083,13
12,0.2,32,50,3,False,0,selu,uniform,,0.4041656018400205,0.06259613939872148,189.4034082889557,13
13,0.2,32,50,3,False,0,selu,normal,,0.40186557628418107,0.07114863790199102,164.1545958518982,13
14,0.2,32,50,3,False,0.2,selu,uniform,,0.4030155890621007,0.06938234834003047,199.73918652534485,13
15,0.2,32,50,3,False,0.2,selu,normal,,0.39764886276514183,0.0,170.2332055568695,13
16,0.2,32,50,3,False,0.4,selu,uniform,,0.5997955532839251,0.7440379603667342,193.59042239189148,13
17,0.2,32,50,3,False,0.4,selu,normal,,0.5995399948888319,0.7397298220243714,170.4831738471985,13
18,0.2,32,50,1,False,0,tanh,uniform,,0.5973677485305391,0.7416194925297369,79.10801839828491,13
19,0.2,32,50,1,False,0,tanh,normal,,0.5928954766164068,0.7379346632276838,67.79639601707458,13
20,0.2,32,50,1,False,0.2,tanh,uniform,,0.6019677996422181,0.7465209822685959,76.46821212768555,13
21,0.2,32,50,1,False,0.2,tanh,normal,,0.5886787630973676,0.7324945472912721,63.42143130302429,13
22,0.2,32,50,1,False,0.4,tanh,uniform,,0.6006900076667517,0.7463740578271777,72.69472336769104,13
23,0.2,32,50,1,False,0.4,tanh,normal,,0.6022233580373114,0.7433661849688364,63.61323571205139,13
24,0.2,32,50,2,False,0,tanh,uniform,,0.6040122668029644,0.7479107715947391,141.82712268829346,13
25,0.2,32,50,2,False,0,tanh,normal,,0.5994122156912852,0.7434393511564538,122.18420386314392,13
26,0.2,32,50,2,False,0.2,tanh,uniform,,0.6009455660618449,0.7454309704926647,135.23342370986938,13
27,0.2,32,50,2,False,0.2,tanh,normal,,0.5990288780986454,0.7438129570958052,112.26483464241028,13
28,0.2,32,50,2,False,0.4,tanh,uniform,,0.6040122668029644,0.748374292499532,129.1288001537323,13
29,0.2,32,50,2,False,0.4,tanh,normal,,0.5990288780986454,0.7444217233295716,111.35858869552612,13
30,0.2,32,50,3,False,0,tanh,uniform,,0.6040122668029644,0.7479107715947391,186.26003289222717,13
31,0.2,32,50,3,False,0,tanh,normal,,0.6040122668029644,0.7479107715947391,159.15511178970337,13
32,0.2,32,50,3,False,0.2,tanh,uniform,,0.6006900076667517,0.7452209241287723,193.96735739707947,13
33,0.2,32,50,3,False,0.2,tanh,normal,,0.6019677996422181,0.7472822168732949,164.24973320960999,13
34,0.2,32,50,3,False,0.4,tanh,uniform,,0.602351137234858,0.7465862254940736,187.45178532600403,13
35,0.2,32,50,3,False,0.4,tanh,normal,,0.6006900076667517,0.7463038991247907,166.54473972320557,13
36,0.2,32,50,1,False,0,sigmoid,uniform,,0.6003066700741118,0.7441250370220823,80.40567684173584,13
37,0.2,32,50,1,False,0,sigmoid,normal,,0.5997955532839251,0.7436054367067744,68.59326028823853,13
38,0.2,32,50,1,False,0.2,sigmoid,uniform,,0.6040122668029644,0.7474187263265745,77.38057732582092,13
39,0.2,32,50,1,False,0.2,sigmoid,normal,,0.6022233580373113,0.7469942166834522,64.06204223632812,13
