iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
0,0.2,32,50,1,0,selu,zero,,0.6033550520276184,0.7496210765144661,343.38578057289124,13
1,0.2,32,50,1,0,selu,uniform,,0.7805212486628417,0.7728182080171877,382.12731742858887,13
2,0.2,32,50,1,0,selu,normal,,0.8003111932315472,0.8374377747742768,360.3777153491974,13
3,0.2,32,50,1,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,376.87335991859436,13
4,0.2,32,50,1,0.2,selu,uniform,,0.7533890887873188,0.8357775837816069,385.4555206298828,13
5,0.2,32,50,1,0.2,selu,normal,,0.7535349606146067,0.8355826834297803,382.28479981422424,13
6,0.2,32,50,1,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,382.96409606933594,13
7,0.2,32,50,1,0.4,selu,uniform,,0.7516775260138092,0.8357661513995429,384.1152038574219,13
8,0.2,32,50,1,0.4,selu,normal,,0.7520276183992998,0.8361817638850574,377.21636867523193,13
9,0.2,32,50,2,0,selu,zero,,0.6033550520276184,0.7496210765144661,383.03326082229614,13
10,0.2,32,50,2,0,selu,uniform,,0.7790041816590489,0.8224426191957744,381.71175932884216,13
11,0.2,32,50,2,0,selu,normal,,0.7778663814062045,0.8108347053577403,392.4356007575989,13
12,0.2,32,50,2,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,441.4646496772766,13
13,0.2,32,50,2,0.2,selu,uniform,,0.7487989886219975,0.8312073568285158,422.56744718551636,13
14,0.2,32,50,2,0.2,selu,normal,,0.7488087134104833,0.8283665174821032,435.0821039676666,13
15,0.2,32,50,2,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,441.541889667511,13
16,0.2,32,50,2,0.4,selu,uniform,,0.7467178838860254,0.8312718247691332,433.4445221424103,13
17,0.2,32,50,2,0.4,selu,normal,,0.7480015559661578,0.8325127686242235,437.34310388565063,13
18,0.2,32,50,3,0,selu,zero,,0.6033550520276184,0.7496210765144661,476.5951614379883,13
19,0.2,32,50,3,0,selu,uniform,,0.7465428376932802,0.7857618736352753,479.3319458961487,13
20,0.2,32,50,3,0,selu,normal,,0.765661771856462,0.8181913190286059,494.97519063949585,13
21,0.2,32,50,3,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,516.8812580108643,13
22,0.2,32,50,3,0.2,selu,uniform,,0.7450257706894873,0.830046299909833,513.0977387428284,13
23,0.2,32,50,3,0.2,selu,normal,,0.746358066712049,0.8294386592889754,516.8646066188812,13
24,0.2,32,50,3,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,520.2830593585968,13
25,0.2,32,50,3,0.4,selu,uniform,,0.7459204512301856,0.8298708578259875,510.9814486503601,13
26,0.2,32,50,3,0.4,selu,normal,,0.744208888456676,0.8295116609883368,515.7727077007294,13
27,0.2,32,50,1,0,tanh,zero,,0.6033550520276184,0.7496210765144661,372.9396059513092,13
28,0.2,32,50,1,0,tanh,uniform,,0.8160264514246817,0.8676069330096754,389.5313467979431,13
29,0.2,32,50,1,0,tanh,normal,,0.8017796362929106,0.8581646806608815,393.9624333381653,13
30,0.2,32,50,1,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,417.7441129684448,13
31,0.2,32,50,1,0.2,tanh,uniform,,0.7473402703491198,0.8329051880219976,402.2108335494995,13
32,0.2,32,50,1,0.2,tanh,normal,,0.7486531167947097,0.8339629927492765,404.5760293006897,13
33,0.2,32,50,1,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,417.12745571136475,13
34,0.2,32,50,1,0.4,tanh,uniform,,0.7475444909073229,0.8330791091208406,404.01014709472656,13
35,0.2,32,50,1,0.4,tanh,normal,,0.7483321987746765,0.8337040323325021,407.9911847114563,13
36,0.2,32,50,2,0,tanh,zero,,0.6033550520276184,0.7496210765144661,421.71217012405396,13
37,0.2,32,50,2,0,tanh,uniform,,0.7897014489934844,0.8533296701490736,425.37557578086853,13
38,0.2,32,50,2,0,tanh,normal,,0.7967908197996693,0.8507469779195658,393.78033900260925,13
39,0.2,32,50,2,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,428.8501102924347,13
40,0.2,32,50,2,0.2,tanh,uniform,,0.7481377030049595,0.8334299176227898,432.27405071258545,13
41,0.2,32,50,2,0.2,tanh,normal,,0.7460760478459594,0.8319138364486841,438.7797939777374,13
42,0.2,32,50,2,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,438.0553138256073,13
43,0.2,32,50,2,0.4,tanh,uniform,,0.7464650393853933,0.8322037738362134,445.3751108646393,13
44,0.2,32,50,2,0.4,tanh,normal,,0.749217154526889,0.834274075044197,437.0430910587311,13
45,0.2,32,50,3,0,tanh,zero,,0.6033550520276184,0.7496210765144661,448.49303913116455,13
46,0.2,32,50,3,0,tanh,uniform,,0.7519595448798988,0.8365215097115453,446.2828617095947,13
47,0.2,32,50,3,0,tanh,normal,,0.7515608285519788,0.83550369501828,437.7510998249054,13
48,0.2,32,50,3,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,484.89088463783264,13
49,0.2,32,50,3,0.2,tanh,uniform,,0.7427112710298548,0.8294491840655956,490.15260672569275,13
50,0.2,32,50,3,0.2,tanh,normal,,0.7419138383740155,0.8288812248685212,486.56009817123413,13
51,0.2,32,50,3,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,492.0836524963379,13
