iteration,lag,test_split,max_depth,max_features,rmse,accuracy,f_score,time_train
0,13,0.2,3,sqrt,,0.5306330837304288,0.6003769624239894,1457.6151773929596
1,13,0.2,6,sqrt,,0.5306330837304288,0.6003769624239894,1526.5220324993134
2,13,0.2,,sqrt,,0.5306136341534571,0.6003307613595513,1588.6674571037292
3,13,0.2,3,log2,,0.5306330837304288,0.6003769624239894,1465.258910894394
4,13,0.2,6,log2,,0.5306330837304288,0.6003769624239894,1550.6349387168884
5,13,0.2,,log2,,0.5306136341534571,0.6003311303904855,1566.6198980808258
6,13,0.2,3,,,0.5306330837304288,0.6003769624239894,1513.6105802059174
7,13,0.2,6,,,0.5306330837304288,0.6003769624239894,1602.4845991134644
8,13,0.2,,,,0.5306622580958863,0.6003463672876449,1650.0326116085052
9,13,0.3,3,sqrt,,0.5390576404727349,0.6099481545035107,2219.3156502246857
10,13,0.3,6,sqrt,,0.5390576404727349,0.6099481545035107,3452.750741958618
11,13,0.3,,sqrt,,0.5390770785817957,0.6099576601999338,2074.677559375763
12,13,0.3,3,log2,,0.5390576404727349,0.6099481545035107,2061.042093515396
13,13,0.3,6,log2,,0.5390576404727349,0.6099481545035107,2069.232347011566
14,13,0.3,,log2,,0.5390705992121086,0.6099545026973922,2093.4478375911713
15,13,0.3,3,,,0.5390576404727349,0.6099481545035107,2086.4908294677734
16,13,0.3,6,,,0.5390576404727349,0.6099481545035107,2128.437345266342
17,13,0.3,,,,0.5390835579514824,0.6099608490768602,2201.683926820755
18,13,0.4,3,sqrt,,0.5357021404766763,0.6061912510356695,2755.8018596172333
19,13,0.4,6,sqrt,,0.5357021404766763,0.6061912510356695,2765.2086720466614
20,13,0.4,,sqrt,,0.5357118566667639,0.6061839326027719,2782.481785058975
21,13,0.4,3,log2,,0.5357021404766763,0.6061912510356695,2767.3070096969604
22,13,0.4,6,log2,,0.5357021404766763,0.6061912510356695,2797.710881948471
23,13,0.4,,log2,,0.5357167147618076,0.6061943775336839,2778.532257795334
24,13,0.4,3,,,0.5357021404766763,0.6061912510356695,2770.583315372467
25,13,0.4,6,,,0.5357167147618076,0.6061864050410495,2796.3718922138214
26,13,0.4,,,,0.5357167147618076,0.6061906272597997,2851.864844560623
27,13,0.5,3,sqrt,,0.5358192020143929,0.604861410624134,3448.60146689415
28,13,0.5,6,sqrt,,0.5358192020143929,0.604861410624134,3450.3217334747314
29,13,0.5,,sqrt,,0.5358192020143929,0.604861410624134,3473.241259098053
30,13,0.5,3,log2,,0.5358192020143929,0.604861410624134,5462.271492958069
31,13,0.5,6,log2,,0.5358192020143929,0.604861410624134,4550.653160572052
32,13,0.5,,log2,,0.5358192020143929,0.604861410624134,3913.2364592552185
33,13,0.5,3,,,0.5358192020143929,0.604861410624134,3928.9537880420685
34,13,0.5,6,,,0.5358192020143929,0.604861410624134,3799.7976338863373
35,13,0.5,,,,0.5358230878032858,0.6048633046788395,4205.834845542908
