iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
0,0.2,32,50,1,False,0,selu,glorot_normal,,0.6364132750905604,0.6262941076212245,140.9085340499878,13
1,0.2,32,50,1,False,0,selu,uniform,,0.6521281696143193,0.6354501215414846,125.72322487831116,13
2,0.2,32,50,1,False,0,selu,normal,,0.6433518005540169,0.6345219756127022,120.40168881416321,13
3,0.2,32,50,1,False,0.2,selu,glorot_normal,,0.6383576603451949,0.6302617475778677,142.36712980270386,13
4,0.2,32,50,1,False,0.2,selu,uniform,,0.6330572128702322,0.6248960803351783,124.06636595726013,13
5,0.2,32,50,1,False,0.2,selu,normal,,0.6317787129767742,0.6236374848085341,123.72113990783691,13
6,0.2,32,50,1,False,0.4,selu,glorot_normal,,0.6318453015128916,0.6236976457588957,135.84665513038635,13
7,0.2,32,50,1,False,0.4,selu,uniform,,0.6370525250372896,0.6285032960658055,123.65006375312805,13
8,0.2,32,50,1,False,0.4,selu,normal,,0.6326576816535271,0.6244461569449249,123.49303889274597,13
9,0.2,32,50,2,False,0,selu,glorot_normal,,0.6419134881738762,0.6316006034621795,250.35517764091492,13
10,0.2,32,50,2,False,0,selu,uniform,,0.6392366290219479,0.6298883213026103,222.78082084655762,13
11,0.2,32,50,2,False,0,selu,normal,,0.6364265927977839,0.6268362023437032,221.85943794250488,13
12,0.2,32,50,2,False,0.2,selu,glorot_normal,,0.6371857021095246,0.6290161338871897,254.70226383209229,13
13,0.2,32,50,2,False,0.2,selu,uniform,,0.6342025356914557,0.6259995273063965,228.7525532245636,13
14,0.2,32,50,2,False,0.2,selu,normal,,0.6350815043682081,0.6268677541889991,228.0381760597229,13
15,0.2,32,50,2,False,0.4,selu,glorot_normal,,0.6319385254634563,0.6236257087895547,248.9784119129181,13
16,0.2,32,50,2,False,0.4,selu,uniform,,0.6336698274025147,0.6254170161841089,227.77474188804626,13
17,0.2,32,50,2,False,0.4,selu,normal,,0.6319385254634563,0.6236257087895547,227.5912754535675,13
18,0.2,32,50,3,False,0,selu,glorot_normal,,0.6408613893032175,0.6318657769483461,346.7977864742279,13
19,0.2,32,50,3,False,0,selu,uniform,,0.6370791604517363,0.6274921419490728,311.9882128238678,13
20,0.2,32,50,3,False,0,selu,normal,,0.6432053057745581,0.6315253129462223,310.56796431541443,13
21,0.2,32,50,3,False,0.2,selu,glorot_normal,,0.6317254421478803,0.6234701805528876,351.4121630191803,13
22,0.2,32,50,3,False,0.2,selu,uniform,,0.6326576816535265,0.6244261130755804,316.3896059989929,13
23,0.2,32,50,3,False,0.2,selu,normal,,0.6332836138930326,0.6250472954468194,316.29239416122437,13
24,0.2,32,50,3,False,0.4,selu,glorot_normal,,0.6333768378435969,0.6251015982029662,343.1383674144745,13
25,0.2,32,50,3,False,0.4,selu,uniform,,0.6319385254634563,0.6236257087895547,317.22005009651184,13
26,0.2,32,50,3,False,0.4,selu,normal,,0.636013743873855,0.6278129266875105,317.37771677970886,13
27,0.2,32,50,1,False,0,tanh,glorot_normal,,0.6411410611549118,0.6316579845464316,143.3005690574646,13
28,0.2,32,50,1,False,0,tanh,uniform,,0.6411277434476881,0.6242685821636801,120.87433338165283,13
29,0.2,32,50,1,False,0,tanh,normal,,0.6408613893032177,0.6295956473263201,121.15601515769958,13
30,0.2,32,50,1,False,0.2,tanh,glorot_normal,,0.6377849989345833,0.6296305595843903,146.30060052871704,13
31,0.2,32,50,1,False,0.2,tanh,uniform,,0.635108139782655,0.6266411511281773,123.35876560211182,13
32,0.2,32,50,1,False,0.2,tanh,normal,,0.6348284679309613,0.6266378232287025,123.51363158226013,13
33,0.2,32,50,1,False,0.4,tanh,glorot_normal,,0.631978478585127,0.6236759500565721,138.43544268608093,13
