iteration,lag,test_split,K,rmse,init,random_run,accuracy,f_score,time_train
0,13,0.2,2,,k-means++,0,0.6025641025641025,0.3743126756284651,0.2656567096710205
1,13,0.2,3,,k-means++,0,0.6025641025641025,0.3743126756284651,0.3750338554382324
2,13,0.2,4,,k-means++,0,0.6025641025641025,0.3743126756284651,0.4688384532928467
3,13,0.2,5,,k-means++,0,0.6025641025641025,0.3743126756284651,0.5312695503234863
4,13,0.2,6,,k-means++,0,0.6025641025641025,0.3743126756284651,0.79695725440979
5,13,0.2,7,,k-means++,0,0.6025641025641025,0.3743126756284651,0.8159580230712891
6,13,0.2,8,,k-means++,0,0.6025641025641025,0.3743126756284651,0.6563332080841064
7,13,0.2,9,,k-means++,0,0.6025641025641025,0.3743126756284651,0.7813222408294678
8,13,0.2,10,,k-means++,0,0.6025641025641025,0.3743126756284651,0.8594624996185303
9,13,0.2,11,,k-means++,0,0.6025641025641025,0.3743126756284651,0.890718936920166
10,13,0.2,12,,k-means++,0,0.6025641025641025,0.3743126756284651,0.9688513278961182
11,13,0.2,13,,k-means++,0,0.6025641025641025,0.3743126756284651,1.0938656330108643
12,13,0.2,14,,k-means++,0,0.6025641025641025,0.3743126756284651,1.1719980239868164
13,13,0.2,15,,k-means++,0,0.6025641025641025,0.3743126756284651,1.1407463550567627
14,13,0.2,16,,k-means++,0,0.6025641025641025,0.3743126756284651,1.281383752822876
15,13,0.2,17,,k-means++,0,0.6025641025641025,0.3743126756284651,1.1876251697540283
16,13,0.2,18,,k-means++,0,0.6025641025641025,0.3743126756284651,1.0626530647277832
17,13,0.2,19,,k-means++,0,0.6025641025641025,0.3743126756284651,0.7031583786010742
18,13,0.2,20,,k-means++,0,0.6025641025641025,0.3743126756284651,0.29690980911254883
19,13,0.2,2,,k-means++,1,0.6025641025641025,0.3743126756284651,0.2969045639038086
20,13,0.2,3,,k-means++,1,0.6025641025641025,0.3743126756284651,0.35944652557373047
21,13,0.2,4,,k-means++,1,0.6025641025641025,0.3743126756284651,0.3906681537628174
22,13,0.2,5,,k-means++,1,0.6025641025641025,0.3743126756284651,0.5781862735748291
23,13,0.2,6,,k-means++,1,0.6025641025641025,0.3743126756284651,0.5625991821289062
24,13,0.2,7,,k-means++,1,0.6025641025641025,0.3743126756284651,0.6719067096710205
25,13,0.2,8,,k-means++,1,0.6025641025641025,0.3743126756284651,0.7610268592834473
26,13,0.2,9,,k-means++,1,0.6025641025641025,0.3743126756284651,0.7188289165496826
27,13,0.2,10,,k-means++,1,0.6025641025641025,0.3743126756284651,0.8594620227813721
28,13,0.2,11,,k-means++,1,0.6025641025641025,0.3743126756284651,0.9063460826873779
29,13,0.2,12,,k-means++,1,0.6025641025641025,0.3743126756284651,1.0313587188720703
30,13,0.2,13,,k-means++,1,0.6025641025641025,0.3743126756284651,0.9844787120819092
31,13,0.2,14,,k-means++,1,0.6025641025641025,0.3743126756284651,1.1719996929168701
32,13,0.2,15,,k-means++,1,0.6025641025641025,0.3743126756284651,1.1526787281036377
33,13,0.2,16,,k-means++,1,0.6025641025641025,0.3743126756284651,1.2657957077026367
34,13,0.2,17,,k-means++,1,0.6025641025641025,0.3743126756284651,1.2657239437103271
35,13,0.2,18,,k-means++,1,0.6025641025641025,0.3743126756284651,1.108771800994873
36,13,0.2,19,,k-means++,1,0.6025641025641025,0.3743126756284651,0.6784844398498535
37,13,0.2,20,,k-means++,1,0.6025641025641025,0.3743126756284651,0.3281972408294678
38,13,0.2,2,,k-means++,2,0.6025641025641025,0.3743126756284651,0.2969036102294922
39,13,0.2,3,,k-means++,2,0.6025641025641025,0.3743126756284651,0.35941314697265625
40,13,0.2,4,,k-means++,2,0.6025641025641025,0.3743126756284651,0.4375460147857666
41,13,0.2,5,,k-means++,2,0.6025641025641025,0.3743126756284651,0.5000536441802979
42,13,0.2,6,,k-means++,2,0.6025641025641025,0.3743126756284651,0.546931266784668
43,13,0.2,7,,k-means++,2,0.6025641025641025,0.3743126756284651,0.6094415187835693
44,13,0.2,8,,k-means++,2,0.6025641025641025,0.3743126756284651,0.8486738204956055
45,13,0.2,9,,k-means++,2,0.6025641025641025,0.3743126756284651,0.7500793933868408
46,13,0.2,10,,k-means++,2,0.6025641025641025,0.3743126756284651,0.8907217979431152
47,13,0.2,11,,k-means++,2,0.6025641025641025,0.3743126756284651,0.8594667911529541
48,13,0.2,12,,k-means++,2,0.6025641025641025,0.3743126756284651,1.015733003616333
49,13,0.2,13,,k-means++,2,0.6025641025641025,0.3743126756284651,1.031360149383545
50,13,0.2,14,,k-means++,2,0.6025641025641025,0.3743126756284651,1.1407835483551025
51,13,0.2,15,,k-means++,2,0.6025641025641025,0.3743126756284651,1.1719598770141602
52,13,0.2,16,,k-means++,2,0.6025641025641025,0.3743126756284651,1.2032496929168701
53,13,0.2,17,,k-means++,2,0.6025641025641025,0.3743126756284651,1.312638282775879
54,13,0.2,18,,k-means++,2,0.6025641025641025,0.3743126756284651,1.1251182556152344
55,13,0.2,19,,k-means++,2,0.6025641025641025,0.3743126756284651,0.5938496589660645
56,13,0.2,20,,k-means++,2,0.6025641025641025,0.3743126756284651,0.36278319358825684
57,13,0.2,2,,k-means++,3,0.6025641025641025,0.3743126756284651,0.3281595706939697
58,13,0.2,3,,k-means++,3,0.6025641025641025,0.3743126756284651,0.34379029273986816
59,13,0.2,4,,k-means++,3,0.6025641025641025,0.3743126756284651,0.4531688690185547
60,13,0.2,5,,k-means++,3,0.6025641025641025,0.3743126756284651,0.468799352645874
61,13,0.2,6,,k-means++,3,0.6025641025641025,0.3743126756284651,0.6094388961791992
62,13,0.2,7,,k-means++,3,0.6025641025641025,0.3743126756284651,0.578188419342041
63,13,0.2,8,,k-means++,3,0.6025641025641025,0.3743126756284651,0.7500782012939453
64,13,0.2,9,,k-means++,3,0.6025641025641025,0.3743126756284651,0.9219722747802734
65,13,0.2,10,,k-means++,3,0.6025641025641025,0.3743126756284651,1.1407454013824463
