iteration,lag,test_split,max_depth,max_features,rmse,accuracy,f_score,time_train
0,13,0.2,3,sqrt,,0.7500582750582752,0.6668879449262184,1997.5864479541779
1,13,0.2,6,sqrt,,0.5003108003108003,0.33403988963711456,1998.6481230258942
2,13,0.2,,sqrt,,0.5003108003108003,0.33403988963711456,2001.8199965953827
3,13,0.2,3,log2,,0.5003108003108003,0.33403988963711456,1996.4883489608765
4,13,0.2,6,log2,,0.5003108003108003,0.33403988963711456,1997.1538050174713
5,13,0.2,,log2,,0.5003108003108003,0.33403988963711456,2003.4506120681763
6,13,0.2,3,,,0.5003108003108003,0.33403988963711456,3511.0336635112762
7,13,0.2,6,,,0.5003108003108003,0.33403988963711456,2320.9846370220184
8,13,0.2,,,,0.5003108003108003,0.33403988963711456,2252.9310958385468
9,13,0.3,3,sqrt,,0.7555601584548067,0.6734973868269419,3172.6922955513
10,13,0.3,6,sqrt,,0.000595500090619579,0.0004321089205589574,3218.6735548973083
11,13,0.3,,sqrt,,0.000595500090619579,0.0004321089205589574,3243.9212634563446
12,13,0.3,3,log2,,0.000595500090619579,0.0004321089205589574,3212.3234424591064
13,13,0.3,6,log2,,0.000595500090619579,0.0004321089205589574,3230.96649312973
14,13,0.3,,log2,,0.000595500090619579,0.0004321089205589574,3183.590499639511
15,13,0.3,3,,,0.000595500090619579,0.0004321089205589574,3275.4395983219147
16,13,0.3,6,,,0.000595500090619579,0.0004321089205589574,3276.2279946804047
17,13,0.3,,,,0.000595500090619579,0.0004321089205589574,5864.629226446152
18,13,0.4,3,sqrt,,0.7551706057133979,0.6731288890209013,4228.9467787742615
19,13,0.4,6,sqrt,,0.0004369525954984173,0.00030489304861805157,5423.389709472656
20,13,0.4,,sqrt,,0.0004369525954984173,0.00030489304861805157,4005.674934387207
21,13,0.4,3,log2,,0.0004369525954984173,0.00030489304861805157,3954.8356308937073
22,13,0.4,6,log2,,0.0004369525954984173,0.00030489304861805157,3980.6962513923645
23,13,0.4,,log2,,0.0004369525954984173,0.00030489304861805157,3992.6436812877655
24,13,0.4,3,,,0.0004369525954984173,0.00030489304861805157,3982.4267716407776
25,13,0.4,6,,,0.0004369525954984173,0.00030489304861805157,3986.024117231369
26,13,0.4,,,,0.0004369525954984173,0.00030489304861805157,3993.4426221847534
27,13,0.5,3,sqrt,,0.7513167503068534,0.6685500838516384,4972.4306490421295
28,13,0.5,6,sqrt,,0.5008622966611254,0.33453141848312584,4974.611849784851
29,13,0.5,,sqrt,,0.5008622966611254,0.33453141848312584,4984.762723207474
30,13,0.5,3,log2,,0.5008622966611254,0.33453141848312584,4981.34241938591
31,13,0.5,6,log2,,0.5008622966611254,0.33453141848312584,4982.5767595767975
32,13,0.5,,log2,,0.5008622966611254,0.33453141848312584,4989.9066417217255
33,13,0.5,3,,,0.5008622966611254,0.33453141848312584,4983.935483455658
34,13,0.5,6,,,0.5008622966611254,0.33453141848312584,4987.259264945984
35,13,0.5,,,,0.5008622966611254,0.33453141848312584,4994.090743303299
