iteration,lag,test_split,max_depth,max_features,rmse,accuracy,f_score,time_train
0,13,0.2,3,sqrt,,0.543294758339006,0.606454643606697,1760.4354975223541
1,13,0.2,6,sqrt,,0.543294758339006,0.606454643606697,1784.0091948509216
2,13,0.2,,sqrt,,0.543294758339006,0.606454643606697,1779.7337188720703
3,13,0.2,3,log2,,0.543294758339006,0.606454643606697,1752.5907213687897
4,13,0.2,6,log2,,0.543294758339006,0.606454643606697,1752.5807275772095
5,13,0.2,,log2,,0.543294758339006,0.606454643606697,1775.27228140831
6,13,0.2,3,,,0.543294758339006,0.606454643606697,1790.6284782886505
7,13,0.2,6,,,0.543294758339006,0.606454643606697,1837.7693123817444
8,13,0.2,,,,0.543294758339006,0.606454643606697,2083.110853910446
9,13,0.3,3,sqrt,,0.525943396226415,0.6008587169579637,3288.2547614574432
10,13,0.3,6,sqrt,,0.525943396226415,0.6008587169579637,2645.2561814785004
11,13,0.3,,sqrt,,0.525943396226415,0.6008587169579637,2653.025737762451
12,13,0.3,3,log2,,0.525943396226415,0.6008587169579637,2621.529416322708
13,13,0.3,6,log2,,0.525943396226415,0.6008587169579637,2629.8106207847595
14,13,0.3,,log2,,0.525943396226415,0.6008587169579637,2648.9647176265717
15,13,0.3,3,,,0.525943396226415,0.6008587169579637,2659.854163646698
16,13,0.3,6,,,0.525943396226415,0.6008587169579637,2693.9400956630707
17,13,0.3,,,,0.525943396226415,0.6008587169579637,2763.092588186264
18,13,0.4,3,sqrt,,0.5302319254573894,0.6017557186340513,3504.4967312812805
19,13,0.4,6,sqrt,,0.5302319254573894,0.6017557186340513,3506.1094977855682
20,13,0.4,,sqrt,,0.5302319254573894,0.6017557186340513,3520.2283856868744
21,13,0.4,3,log2,,0.5302319254573894,0.6017557186340513,3495.506325483322
22,13,0.4,6,log2,,0.5302319254573894,0.6017557186340513,3502.5258691310883
23,13,0.4,,log2,,0.5302319254573894,0.6017557186340513,3511.946750640869
24,13,0.4,3,,,0.5302319254573894,0.6017557186340513,3523.2674610614777
25,13,0.4,6,,,0.5302319254573894,0.6017557186340513,3905.5898423194885
26,13,0.4,,,,0.5302319254573894,0.6017557186340513,3619.6085851192474
27,13,0.5,3,sqrt,,0.5192035687085192,0.5861067356514094,4364.310652017593
28,13,0.5,6,sqrt,,0.5192035687085192,0.5861067356514094,4370.873435258865
29,13,0.5,,sqrt,,0.5192035687085192,0.5861067356514094,4746.456136226654
30,13,0.5,3,log2,,0.5192035687085192,0.5861067356514094,4380.179801940918
31,13,0.5,6,log2,,0.5192035687085192,0.5861067356514094,4371.633146524429
32,13,0.5,,log2,,0.5192035687085192,0.5861067356514094,4376.582193851471
33,13,0.5,3,,,0.5192035687085192,0.5861067356514094,4379.96522974968
34,13,0.5,6,,,0.5192035687085192,0.5861067356514094,4473.890707731247
35,13,0.5,,,,0.5192035687085192,0.5861067356514094,4458.111953496933
