id,object_type,object_name
1,TABLE,STORE_SALES
1,TABLE,STORE_RETURNS
2,INDEX,SS_CUSTOMER_SK_INDEX
2,TABLE,STORE_SALES
2,TABLE,DATE_DIM
3,INDEX,SS_SOLD_DATE_SK_INDEX
3,TABLE,DATE_DIM
3,TABLE,STORE_SALES
4,TABLE,CATALOG_SALES
4,TABLE,DATE_DIM
4,INDEX,CS_SOLD_DATE_SK_INDEX
5,TABLE,DATE_DIM
5,TABLE,INVENTORY
5,TABLE,ITEM
6,TABLE,STORE
6,TABLE,STORE_SALES
7,INDEX,SS_CUSTOMER_SK_INDEX
7,TABLE,STORE_SALES
7,TABLE,DATE_DIM
8,TABLE,STORE
8,TABLE,DATE_DIM
8,INDEX,SS_SOLD_DATE_SK_INDEX
8,TABLE,STORE_SALES
9,INDEX,WS_SOLD_DATE_SK_INDEX
9,TABLE,DATE_DIM
9,TABLE,WEB_SALES
10,TABLE,DATE_DIM
10,TABLE,ITEM
10,TABLE,STORE_SALES
11,TABLE,DATE_DIM
11,TABLE,STORE_SALES
11,INDEX,SS_SOLD_DATE_SK_INDEX
12,INDEX,SS_SOLD_DATE_SK_INDEX
12,TABLE,DATE_DIM
12,TABLE,STORE_SALES
13,TABLE,STORE_SALES
13,TABLE,DATE_DIM
13,INDEX,SS_SOLD_DATE_SK_INDEX
14,TABLE,DATE_DIM
14,TABLE,WEB_SALES
14,INDEX,WS_SOLD_DATE_SK_INDEX
